Date,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK-B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DUK,EMR,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,ISRG,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NOW,NVDA,ORCL,PEP,PFE,PG,PLTR,PM,PYPL,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
2020-09-30,112.92620849609375,72.90644836425781,100.45184326171875,212.52023315429688,490.42999267578125,24.766952514648438,81.98999786376953,220.90696716308594,213.0994873046875,157.43649291992188,32.69232177734375,94.32770538330078,165.25999450683594,21.57244300842285,29.963117599487305,1692.17919921875,504.7756042480469,50.591922760009766,212.94000244140625,36.355220794677734,136.33535766601562,624.3400268554688,69.46026611328125,40.82499313354492,66.2467269897461,27.80774688720703,328.032958984375,249.53199768066406,34.08487319946289,50.70981979370117,59.37279510498047,209.1379852294922,187.484619140625,122.56586456298828,73.99937438964844,59.44950866699219,232.0868682861328,124.01146697998047,30.441938400268555,52.64093780517578,28.771692276000977,73.13361358642578,72.93132019042969,180.22259521484375,249.0479278564453,150.38162231445312,94.99525451660156,46.47241973876953,316.5835266113281,236.51333618164062,131.1520538330078,84.58689880371094,43.07049560546875,223.64874267578125,140.54991149902344,339.0362243652344,153.11094665527344,329.2249755859375,198.0470428466797,51.61652755737305,91.123291015625,32.18218231201172,260.67144775390625,111.97025299072266,26.999387741088867,68.92717742919922,41.78348922729492,202.37210083007812,62.16011428833008,500.0299987792969,118.8113021850586,485.0,13.491023063659668,55.67463684082031,121.59133911132812,28.488754272460938,124.43236541748047,9.5,59.5611572265625,197.02999877929688,106.98860931396484,51.62187576293945,78.0151596069336,34.110130310058594,45.5245361328125,49.730167388916016,15.330442428588867,141.2664794921875,436.727783203125,111.8338394165039,143.00332641601562,126.05570983886719,292.14306640625,178.40138244628906,141.95849609375,29.583206176757812,193.60043334960938,45.092281341552734,21.2056884765625,43.709659576416016,28.150970458984375
2020-10-01,113.88177490234375,72.53189849853516,100.2764663696289,211.7584991455078,499.510009765625,24.937889099121094,84.86000061035156,221.97607421875,213.46974182128906,161.06300354003906,33.0764045715332,95.34391784667969,167.86000061035156,21.58139991760254,29.81478500366211,1724.1297607421875,508.68084716796875,50.57502365112305,212.02000427246094,36.63351821899414,134.1050262451172,635.1099853515625,69.37923431396484,40.98385238647461,67.2331314086914,27.460573196411133,331.2301330566406,251.64682006835938,33.88400650024414,50.22355651855469,58.06988525390625,206.6939697265625,186.91000366210938,121.80525970458984,75.24439239501953,58.59725570678711,234.44906616210938,123.82334899902344,30.490798950195312,52.749229431152344,29.539844512939453,74.15328216552734,74.04100799560547,178.05242919921875,248.96725463867188,149.531982421875,94.54241180419922,46.8852653503418,322.53265380859375,236.83999633789062,129.77780151367188,85.20195770263672,42.90473937988281,218.54898071289062,137.0081329345703,336.9220886230469,154.32028198242188,334.2873840332031,198.13726806640625,52.02982711791992,89.70277404785156,32.26011276245117,265.3792724609375,110.99861907958984,27.195030212402344,67.83863830566406,40.84152603149414,204.4215087890625,63.32468032836914,527.510009765625,119.85234069824219,492.5199890136719,13.574776649475098,55.65598678588867,123.52130889892578,28.232587814331055,124.6561508178711,9.460000038146973,58.886043548583984,196.94000244140625,108.66143798828125,51.55010223388672,78.75970458984375,35.52235412597656,45.86037063598633,51.15256881713867,15.319684028625488,142.32540893554688,433.4436950683594,113.1735610961914,149.3866729736328,127.92725372314453,293.3611755371094,176.00904846191406,142.82748413085938,29.706989288330078,196.8727569580078,45.06196594238281,21.250782012939453,44.700008392333984,27.16695785522461
2020-10-02,110.20567321777344,71.68287658691406,98.30120849609375,209.14419555664062,478.989990234375,25.387706756591797,81.80000305175781,213.3018341064453,214.48353576660156,156.25,32.02021408081055,95.60736083984375,168.0800018310547,21.679901123046875,30.312135696411133,1692.208740234375,510.6601867675781,49.645023345947266,211.17999267578125,36.81904602050781,137.0574493408203,620.22998046875,69.68535614013672,39.845420837402344,69.08612823486328,28.002500534057617,328.0422058105469,246.08668518066406,33.421165466308594,50.214866638183594,58.70484161376953,212.11988830566406,185.02056884765625,121.0545425415039,76.52284240722656,59.42230224609375,235.48255920410156,125.85692596435547,31.2237491607666,51.79121780395508,29.617633819580078,72.57723999023438,72.4336929321289,179.26304626464844,250.4828643798828,151.29515075683594,94.13642120361328,45.781341552734375,312.3909606933594,232.0933380126953,128.82640075683594,86.01029968261719,43.06177520751953,218.03236389160156,137.88174438476562,336.6478576660156,153.6925506591797,329.8675231933594,200.91641235351562,51.0864372253418,89.40464782714844,32.58045959472656,258.7206726074219,112.09606170654297,27.22997283935547,67.14064025878906,41.455101013183594,198.38877868652344,62.96859359741211,503.05999755859375,119.85234069824219,493.1499938964844,13.024136543273926,54.86330795288086,121.11756896972656,28.240346908569336,123.65345001220703,9.199999809265137,59.14021301269531,191.91000366210938,104.97937774658203,53.23674392700195,78.60536193847656,35.46587371826172,47.23736572265625,52.43656539916992,15.421854019165039,142.77410888671875,430.33782958984375,110.90481567382812,138.3633270263672,124.5549545288086,292.3398132324219,177.93014526367188,142.2396240234375,30.342388153076172,195.04295349121094,44.90279006958008,21.63863754272461,43.89398193359375,27.043956756591797
2020-10-05,113.59900665283203,73.18946838378906,100.20263671875,210.16921997070312,486.4700012207031,26.1344051361084,86.1500015258789,222.5149383544922,214.50997924804688,159.9600067138672,32.85205841064453,97.75267028808594,171.1999969482422,22.047056198120117,30.870559692382812,1688.3311767578125,520.3875732421875,50.05082702636719,212.36000061035156,37.87318801879883,140.3024444580078,633.97998046875,70.60366821289062,40.42787551879883,71.94397735595703,29.027088165283203,331.34100341796875,249.74049377441406,33.683143615722656,51.1873893737793,59.95003128051758,214.16761779785156,190.11412048339844,121.8645248413086,76.65653228759766,61.280948638916016,239.1827392578125,127.86361694335938,31.32147789001465,52.98249435424805,30.103803634643555,73.95074462890625,73.7887191772461,180.9669189453125,252.9849395751953,154.1363525390625,95.2607192993164,46.391639709472656,321.5815124511719,235.89999389648438,130.57943725585938,87.82821655273438,43.0792236328125,220.79359436035156,139.2301025390625,339.6376953125,155.58497619628906,334.1705627441406,203.98422241210938,51.284114837646484,90.93915557861328,33.35103225708008,263.4085693359375,113.76675415039062,27.60030746459961,67.50626373291016,41.99953842163086,202.4202423095703,64.47801971435547,520.6500244140625,121.05426788330078,501.7900085449219,13.602693557739258,55.54407501220703,121.0035400390625,28.527563095092773,124.79046630859375,9.029999732971191,60.2918701171875,196.85000610351562,109.57059478759766,53.38925552368164,80.33055877685547,34.77858352661133,48.00142288208008,52.86714553833008,15.41647720336914,144.9188232421875,445.7784729003906,112.26409912109375,141.89332580566406,127.1944808959961,298.1213684082031,182.43392944335938,144.1138916015625,31.13457679748535,197.05670166015625,45.22114562988281,22.05355453491211,44.300106048583984,27.66716194152832
2020-10-06,110.34217071533203,71.49143981933594,98.07048034667969,207.2163543701172,478.9800109863281,26.071430206298828,84.4800033569336,219.62933349609375,212.46475219726562,154.9980010986328,32.66181564331055,95.74851989746094,159.5399932861328,21.823184967041016,30.73967933654785,1691.219482421875,519.7158203125,48.81647872924805,210.25999450683594,37.4515266418457,138.51087951660156,620.8900146484375,69.81139373779297,39.478816986083984,69.72223663330078,28.1972599029541,331.12847900390625,248.36038208007812,33.683143615722656,50.562198638916016,59.62018966674805,213.37490844726562,190.0183563232422,119.45429992675781,75.84600067138672,60.999881744384766,239.23809814453125,127.48731231689453,30.148757934570312,52.082794189453125,29.559293746948242,72.32941436767578,72.2057876586914,180.3302001953125,247.93592834472656,152.46450805664062,95.22948455810547,46.10444641113281,315.77801513671875,233.0066680908203,128.84400939941406,86.9237060546875,42.69536590576172,217.96661376953125,136.8562469482422,333.00347900390625,152.307861328125,328.5045471191406,202.19764709472656,50.39462661743164,90.64979553222656,33.22114944458008,257.4466857910156,113.40325927734375,27.67017364501953,66.1684341430664,41.25632858276367,198.119384765625,65.0087890625,505.8699951171875,120.80819702148438,491.5400085449219,13.696418762207031,55.49744415283203,119.04718017578125,28.077341079711914,124.98745727539062,9.899999618530273,59.96623229980469,191.66000366210938,108.67964172363281,52.43828201293945,79.00487518310547,34.599700927734375,48.55558395385742,53.805152893066406,15.437983512878418,142.1549072265625,441.0503234863281,109.96600341796875,137.9933319091797,126.99152374267578,294.6543273925781,180.70310974121094,144.2758026123047,30.878761291503906,194.06509399414062,45.069549560546875,21.810020446777344,43.93458938598633,27.380159378051758
2020-10-07,112.21436309814453,72.47362518310547,99.44576263427734,210.13157653808594,493.1499938964844,26.593217849731445,86.69000244140625,223.95774841308594,213.134765625,159.7845001220703,32.90949249267578,97.27281188964844,164.61000061035156,22.279878616333008,31.812908172607422,1739.8282470703125,530.3031616210938,51.08228302001953,213.2899932861328,37.81415557861328,141.47247314453125,623.72998046875,70.34259033203125,39.87794876098633,72.12834930419922,29.069427490234375,335.4437561035156,258.1304016113281,34.407989501953125,51.595497131347656,60.840614318847656,217.57412719726562,193.3182373046875,121.41014099121094,76.28886413574219,62.450538635253906,247.5334930419922,129.78067016601562,30.832841873168945,52.349369049072266,30.74555778503418,72.67030334472656,72.60986328125,182.5811004638672,253.603759765625,156.7217254638672,96.86907196044922,47.27118682861328,325.0267028808594,240.0933380126953,130.27113342285156,88.44010925292969,43.23625564575195,224.41883850097656,141.44247436523438,338.7354736328125,155.52035522460938,334.803466796875,204.3541717529297,50.484466552734375,92.6490478515625,34.06099319458008,256.9091796875,116.38114929199219,28.32000732421875,66.50910186767578,42.09459686279297,201.8910675048828,66.54063415527344,534.6599731445312,123.0890121459961,500.0,13.92325496673584,56.73342514038086,120.19642639160156,28.310211181640625,125.9632568359375,10.0,62.785823822021484,194.61000061035156,111.85254669189453,53.55073165893555,80.31238555908203,35.569435119628906,48.5303840637207,54.61247253417969,15.48637866973877,144.1919403076172,447.4501037597656,111.6969223022461,141.76666259765625,129.55160522460938,302.82537841796875,185.42433166503906,149.0806884765625,32.009281158447266,196.02076721191406,45.18323516845703,22.378267288208008,44.01582717895508,27.470359802246094
2020-10-08,112.10711669921875,72.69837951660156,100.18416595458984,212.16290283203125,490.8399963378906,27.22296142578125,86.51000213623047,208.67782592773438,214.71273803710938,159.52749633789062,33.5008430480957,100.2113037109375,168.0,22.602256774902344,32.44113540649414,1769.46435546875,541.4008178710938,52.09683609008789,215.14999389648438,37.71295928955078,143.20008850097656,629.0800170898438,70.89179992675781,40.17951965332031,74.00898742675781,30.085548400878906,337.35650634765625,258.36865234375,34.748565673828125,52.507240295410156,62.028076171875,221.03724670410156,192.16893005371094,121.58794403076172,77.83470916748047,62.813209533691406,250.11717224121094,130.9271240234375,32.494205474853516,52.749229431152344,31.319236755371094,73.94625854492188,73.8185806274414,186.5089111328125,255.15516662597656,158.75897216796875,102.6623306274414,47.89943313598633,325.6781311035156,241.0066680908203,131.16087341308594,90.25804901123047,44.02140808105469,223.2918243408203,145.75335693359375,343.73321533203125,157.73587036132812,336.41156005859375,203.74057006835938,50.762996673583984,94.5255126953125,34.50255584716797,262.5227355957031,117.23394012451172,28.215200424194336,66.87474060058594,42.345211029052734,202.6126708984375,67.41851806640625,531.7899780273438,122.75780487060547,496.5,13.798370361328125,57.014320373535156,120.93331909179688,28.636245727539062,126.81378173828125,10.0,62.2139778137207,193.05999755859375,111.2252426147461,54.546573638916016,81.29304504394531,35.531776428222656,49.29444122314453,54.87875747680664,15.760987281799316,145.25088500976562,448.61724853515625,112.93887329101562,141.97332763671875,130.7080535888672,302.11322021484375,184.66317749023438,148.4162139892578,32.59516525268555,196.5145263671875,45.342567443847656,22.820240020751953,44.162654876708984,28.913578033447266
2020-10-09,114.05728912353516,72.99801635742188,101.2087173461914,215.9014434814453,502.1600036621094,26.944076538085938,83.0999984741211,205.73138427734375,215.7000732421875,164.33250427246094,33.80324935913086,100.47586059570312,167.3300018310547,22.7097225189209,32.89485168457031,1798.2298583984375,547.7874145507812,52.265933990478516,215.67999267578125,37.89004898071289,145.2842254638672,635.6400146484375,71.81912231445312,39.780391693115234,73.6402359008789,29.74684715270996,341.3945617675781,264.0876770019531,34.80096435546875,51.5781364440918,61.022029876708984,221.5751495361328,196.82711791992188,123.45488739013672,77.96003723144531,63.420677185058594,250.5692596435547,129.68138122558594,33.422611236572266,53.18242263793945,31.270620346069336,75.40385437011719,75.16314697265625,186.1143341064453,256.4106750488281,159.3070831298828,99.77349853515625,47.40580368041992,332.3085021972656,246.06333923339844,132.99314880371094,89.74369812011719,44.326759338378906,225.3486785888672,148.9627685546875,341.3803405761719,159.9144744873047,343.46832275390625,202.8653564453125,51.48176574707031,95.29713439941406,34.18220138549805,263.2095031738281,118.34539794921875,28.431800842285156,66.77500915527344,42.19830322265625,207.64479064941406,67.8373031616211,539.4400024414062,123.95973205566406,508.6099853515625,13.722590446472168,57.25777816772461,121.4509506225586,28.558616638183594,127.95075988769531,9.949999809265137,62.65081024169922,197.27000427246094,113.52538299560547,53.74811553955078,81.72886657714844,35.99310302734375,49.31963348388672,53.038238525390625,15.601228713989258,146.91104125976562,459.6562194824219,114.64042663574219,144.6666717529297,133.22409057617188,307.2012939453125,186.47552490234375,148.8251190185547,32.32285690307617,200.0579376220703,45.44982147216797,22.820240020751953,44.60627746582031,28.487178802490234
2020-10-12,121.30230712890625,73.51407623291016,102.5009536743164,217.69515991210938,510.8900146484375,27.40289306640625,84.29000091552734,208.1737060546875,217.19874572753906,172.14649963378906,34.31743240356445,100.73097229003906,167.35000610351562,22.996274948120117,32.99083709716797,1825.0465087890625,550.760986328125,52.274383544921875,216.41000366210938,38.69120407104492,148.63888549804688,651.719970703125,72.59342193603516,40.791534423828125,74.12884521484375,30.136343002319336,347.88128662109375,265.1699523925781,35.24635696411133,51.85599136352539,61.44260025024414,223.18875122070312,196.55718994140625,123.44500732421875,77.80127716064453,63.085205078125,252.36865234375,130.64727783203125,33.37374496459961,53.773902893066406,31.319236755371094,78.08763885498047,77.85726928710938,192.01504516601562,257.29840087890625,160.20240783691406,99.32067108154297,48.357154846191406,341.175048828125,251.88999938964844,133.75958251953125,90.84331512451172,44.57103729248047,225.64918518066406,146.69338989257812,344.025146484375,159.45291137695312,343.1272888183594,204.02029418945312,52.6946907043457,95.6303482055664,34.92679977416992,274.4565124511719,117.8910140991211,28.264110565185547,66.77500915527344,43.848899841308594,213.0232696533203,68.45542907714844,539.8099975585938,122.52119445800781,509.0899963378906,14.184490203857422,57.54804992675781,124.6881103515625,28.581907272338867,129.35630798339844,9.890000343322754,63.000282287597656,201.50999450683594,115.18003845214844,54.30434799194336,82.42803955078125,36.21907043457031,49.42039108276367,53.273193359375,15.496556282043457,147.6828155517578,461.6542053222656,117.4177017211914,147.43333435058594,136.74647521972656,309.1972961425781,186.99205017089844,150.4011993408203,32.80147171020508,199.8256072998047,45.61834716796875,23.162996292114258,45.065528869628906,28.396974563598633
2020-10-13,118.08446502685547,73.10623168945312,100.02725219726562,216.55284118652344,514.3099975585938,26.827116012573242,85.27999877929688,208.0259552001953,213.69894409179688,172.18150329589844,34.23307800292969,99.21920776367188,162.13999938964844,22.342565536499023,32.17937469482422,1761.708984375,572.32080078125,51.68256759643555,212.30999755859375,36.83591842651367,148.1909942626953,649.9500122070312,72.26030731201172,40.70282745361328,73.32679748535156,29.535146713256836,351.76226806640625,264.931640625,34.76604080200195,51.33500671386719,60.52726745605469,223.84930419921875,196.44403076171875,127.38631439208984,77.64251708984375,62.45961380004883,251.6674041748047,129.30224609375,32.836238861083984,53.723915100097656,30.98863983154297,78.21353912353516,77.98067474365234,189.04673767089844,260.39239501953125,156.7217254638672,97.67326354980469,48.312286376953125,339.872314453125,251.78334045410156,130.69398498535156,89.37126159667969,43.812042236328125,221.6294708251953,142.5059814453125,344.0516357421875,161.85304260253906,337.0841369628906,205.13919067382812,52.91930389404297,93.77140808105469,33.76661682128906,274.84466552734375,116.47896575927734,27.516450881958008,67.06585693359375,43.58963394165039,214.4280242919922,67.51482391357422,554.0900268554688,122.27511596679688,518.2999877929688,14.20667552947998,57.0892448425293,125.92508697509766,28.644006729125977,129.1056365966797,9.470000267028809,62.912906646728516,207.74000549316406,115.88009643554688,53.398231506347656,81.86507415771484,35.40938949584961,48.98378372192383,51.5501594543457,15.287222862243652,148.64295959472656,462.45550537109375,118.88455200195312,148.88333129882812,136.384521484375,310.5559997558594,183.95632934570312,149.37033081054688,31.703962326049805,197.81187438964844,45.472801208496094,22.315128326416016,45.68409729003906,28.06077003479004
