set T :=
T1 T2 T3 T4 T5 T6 T7 T8 T9 T10 T11 T12 T13 T14 T15 T16 T17 T18 T19 T20 T21 T22 T23 T24 T25 T26 T27 T28 T29 T30 T31 T32 T33 T34 T35 T36 T37 T38 T39 T40 T41 T42 T43 T44 T45 T46 T47 T48 T49 T50 T51 T52 T53 T54 T55 T56 T57 T58 T59 T60 T61 T62 T63 T64 T65 T66 T67 T68 T69 T70 T71 T72 T73 T74 T75 T76 T77 T78 T79 T80 T81 T82 T83 T84 T85 T86 T87 T88 T89 T90 T91 T92 T93 T94 T95 T96 T97 T98 T99 T100 T101 T102 T103 T104 T105 T106 T107 T108 T109 T110 T111 T112 T113 T114 T115 T116 T117 T118 T119 T120 T121 T122 T123 T124 T125 T126 T127 T128 T129 T130 T131 T132 T133 T134 T135 T136 T137 T138 T139 T140 T141 T142 T143 T144 T145 T146 T147 T148 T149 T150 T151 T152 T153 T154 T155 T156 T157 T158 T159 T160 T161 T162 T163 T164 T165 T166 T167 T168 T169 T170 T171 T172 T173 T174 T175 T176 T177 T178 T179 T180 T181 T182 T183 T184 T185 T186 T187 T188 T189 T190 T191 T192 T193 T194 T195 T196 T197 T198 T199 T200 T201 T202 T203 T204 T205 T206 T207 T208 T209 T210 T211 T212 T213 T214 T215 T216 T217 T218 T219 T220 T221 T222 T223 T224 T225 T226 T227 T228 T229 T230 T231 T232 T233 T234 T235 T236 T237 T238 T239 T240 T241 T242 T243 T244 T245 T246 T247 T248 T249 T250 T251 T252 T253 T254 T255 T256 T257 T258 T259 T260 T261 T262 T263 T264 T265 T266 T267 T268 T269 T270 T271 T272 T273 T274 T275 T276 T277 T278 T279 T280 T281 T282 T283 T284 T285 T286 T287 T288 T289 T290 T291 T292 T293 T294 T295 T296 T297 T298 T299 T300 T301 T302 T303 T304 T305 T306 T307 T308 T309 T310 T311 T312 T313 T314 T315 T316 T317 T318 T319 T320 T321 T322 T323 T324 T325 T326 T327 T328 T329 T330 T331 T332 T333 T334 T335 T336 T337 T338 T339 T340 T341 T342 T343 T344 T345 T346 T347 T348 T349 T350 T351 T352 T353 T354 T355 T356 T357 T358 T359 T360 T361 T362 T363 T364 T365 T366 T367 T368 T369 T370 T371 T372 T373 T374 T375 T376 T377 T378 T379 T380 T381 T382 T383 T384 T385 T386 T387 T388 T389 T390 T391 T392 T393 T394 T395 T396 T397 T398 T399 T400 T401 T402 T403 T404 T405 T406 T407 T408 T409 T410 T411 T412 T413 T414 T415 T416 T417 T418 T419 T420 T421 T422 T423 T424 T425 T426 T427 T428 T429 T430 T431 T432 T433 T434 T435 T436 T437 T438 T439 T440 T441 T442 T443 T444 T445 T446 T447 T448 T449 T450 T451 T452 T453 T454 T455 T456 T457 T458 T459 T460 T461 T462 T463 T464 T465 T466 T467 T468 T469 T470 T471 T472 T473 T474 T475 T476 T477 T478 T479 T480 T481 T482 T483 T484 T485 T486 T487 T488 T489 T490 T491 T492 T493 T494 T495 T496 T497 T498 T499 T500 T501 T502 T503 T504 T505 T506 T507 T508 T509 T510 T511 T512 T513 T514 T515 T516 T517 T518 T519 T520 T521 T522 T523 T524 T525 T526 T527 T528 T529 T530 T531 T532 T533 T534 T535 T536 T537 T538 T539 T540 T541 T542 T543 T544 T545 T546 T547 T548 T549 T550 T551 T552 T553 T554 T555 T556 T557 T558 T559 T560 T561 T562 T563 T564 T565 T566 T567 T568 T569 T570 T571 T572 T573 T574 T575 T576 T577 T578 T579 T580 T581 T582 T583 T584 T585 T586 T587 T588 T589 T590 T591 T592 T593 T594 T595 T596 T597 T598 T599 T600 T601 T602 T603 T604 T605 T606 T607 T608 T609 T610 T611 T612 T613 T614 T615 T616 T617 T618 T619 T620 T621 T622 T623 T624 T625 T626 T627 T628 T629 T630 T631 T632 T633 T634 T635 T636 T637 T638 T639 T640 T641 T642 T643 T644 T645 T646 T647 T648 T649 T650 T651 T652 T653 T654 T655 T656 T657 T658 T659 T660 T661 T662 T663 T664 T665 T666 T667 T668 T669 T670 T671 T672 T673 T674 T675 T676 T677 T678 T679 T680 T681 T682 T683 T684 T685 T686 T687 T688 T689 T690 T691 T692 T693 T694 T695 T696 T697 T698 T699 T700 T701 T702 T703 T704 T705 T706 T707 T708 T709 T710 T711 T712 T713 T714 T715 T716 T717 T718 T719 T720 T721 T722 T723 T724 T725 T726 T727 T728 T729 T730 T731 T732 T733 T734 T735 T736 T737 T738 T739 T740 T741 T742 T743 T744 T745 T746 T747 T748 T749 T750 T751 T752 T753 T754 T755 T756 T757 T758 T759 T760 T761 T762 T763 T764 T765 T766 T767 T768 T769 T770 T771 T772 T773 T774 T775 T776 T777 T778 T779 T780 T781 T782 T783 T784 T785 T786 T787 T788 T789 T790 T791 T792 T793 T794 T795 T796 T797 T798 T799 T800 T801 T802 T803 T804 T805 T806 T807 T808 T809 T810 T811 T812 T813 T814 T815 T816 T817 T818 T819 T820 T821 T822 T823 T824 T825 T826 T827 T828 T829 T830 T831 T832 T833 T834 T835 T836 T837 T838 T839 T840 T841 T842 T843 T844 T845 T846 T847 T848 T849 T850 T851 T852 T853 T854 T855 T856 T857 T858 T859 T860 T861 T862 T863 T864 T865 T866 T867 T868 T869 T870 T871 T872 T873 T874 T875 T876 T877 T878 T879 T880 T881 T882 T883 T884 T885 T886 T887 T888 T889 T890 T891 T892 T893 T894 T895 T896 T897 T898 T899 T900 T901 T902 T903 T904 T905 T906 T907 T908 T909 T910 T911 T912 T913 T914 T915 T916 T917 T918 T919 T920 T921 T922 T923 T924 T925 T926 T927 T928 T929 T930 T931 T932 T933 T934 T935 T936 T937 T938 T939 T940 T941 T942 T943 T944 T945 T946 T947 T948 T949 T950 T951 T952 T953 T954 T955 T956 T957 T958 T959 T960 T961 T962 T963 T964 T965 T966 T967 T968 T969 T970 T971 T972 T973 T974 T975 T976 T977 T978 T979 T980 T981 T982 T983 T984 T985 T986 T987 T988 T989 T990 T991 T992 T993 T994 T995 T996 T997 T998 T999 T1000 T1001 T1002 T1003 T1004 T1005 T1006 T1007 T1008 T1009 T1010 T1011 T1012 T1013 T1014 T1015 T1016 T1017 T1018 T1019 T1020 T1021 T1022 T1023 T1024 T1025 T1026 T1027 T1028 T1029 T1030 T1031 T1032 T1033 T1034 T1035 T1036 T1037 T1038 T1039 T1040 T1041 T1042 T1043 T1044 T1045 T1046 T1047 T1048 T1049 T1050 T1051 T1052 T1053 T1054 T1055 T1056 T1057 T1058 T1059 T1060 T1061 T1062 T1063 T1064 T1065 T1066 T1067 T1068 T1069 T1070 T1071 T1072 T1073 T1074 T1075 T1076 T1077 T1078 T1079 T1080 T1081 T1082 T1083 T1084 T1085 T1086 T1087 T1088 T1089 T1090 T1091 T1092 T1093 T1094 T1095 T1096 T1097 T1098 T1099 T1100 T1101 T1102 T1103 T1104 T1105 T1106 ;

set STOCKS := AAPL ABT AVGO AXP BKNG C CL INTU LIN MO GOOG GOOGL MCD MRK NVDA NFLX NOW TMUS UNP BRK-B;

param R : AAPL ABT AVGO AXP BKNG C CL INTU LIN MO GOOG GOOGL MCD MRK NVDA NFLX NOW TMUS UNP BRK-B :=
T1 -0.032280 -0.019698 -0.031932 0.002763 -0.018514 0.005065 0.004412 -0.031444 -0.002363 0.001285 -0.021254 -0.021708 0.014026 -0.010289 -0.040563 -0.046350 0.001279 -0.020047 0.010915 -0.003962
T2 0.030791 0.019343 0.025979 0.022439 -0.002291 0.028630 0.013178 0.029420 0.012664 0.013600 0.018925 0.018707 0.015269 0.005445 0.044422 0.034966 0.017520 0.012256 0.025312 0.005588
T3 -0.028669 -0.021279 -0.005791 -0.020502 0.001711 -0.011133 -0.011222 -0.018047 -0.012803 0.002532 -0.021924 -0.021452 -0.008758 -0.019818 0.006890 -0.028388 -0.020427 -0.020470 -0.009487 -0.009889
T4 0.016967 0.014024 0.007583 0.015920 0.028742 0.009683 0.007609 0.029289 0.029602 0.023485 0.004713 0.005596 0.010665 0.005149 0.016562 0.056912 0.017211 0.015740 0.026127 0.014411
T5 -0.000956 0.007425 0.017969 0.030209 0.017034 -0.002676 0.007808 0.002004 -0.005022 -0.003701 0.017558 0.016647 -0.003003 0.005497 -0.008969 -0.005368 -0.007000 0.011119 -0.004105 0.008721
T6 0.017396 0.010227 0.009027 0.002640 0.016257 0.004696 0.013081 0.020359 0.009211 0.007677 0.019711 0.018214 -0.004296 -0.001491 -0.005492 0.014385 0.024391 0.015066 0.009814 0.002463
T7 0.063521 0.012768 0.015211 0.002539 0.014913 0.021144 0.010781 0.026681 0.001334 -0.005898 0.035592 0.035844 0.005693 0.000000 0.033660 0.000686 0.000944 0.024226 0.002770 0.003385
T8 -0.026527 -0.024133 -0.002458 -0.015008 -0.034705 -0.047951 -0.004589 -0.003818 -0.017814 -0.026453 0.001612 0.001585 0.005484 0.004356 0.001564 0.026454 0.018091 0.012493 -0.016234 -0.018946
T9 0.000743 -0.002407 -0.003119 -0.001905 -0.027159 -0.014881 -0.004984 -0.012271 -0.004746 0.004317 -0.002291 -0.002316 0.001188 -0.002478 -0.010738 -0.022812 -0.002720 -0.040306 0.008916 -0.006594
T10 -0.003961 -0.003991 -0.000973 -0.003626 -0.017598 0.013479 -0.001878 -0.009644 -0.022396 0.003793 -0.005708 -0.005098 0.008874 -0.018010 -0.008886 0.000905 0.007332 -0.011742 0.019530 0.003509
T11 -0.014001 0.021897 -0.003369 0.004596 -0.020116 -0.009631 0.007527 -0.002398 0.015157 -0.004282 0.008902 0.007863 -0.001176 0.009739 -0.011346 -0.020574 0.008047 -0.002949 0.004980 0.001228
T12 -0.025542 -0.014863 -0.007606 -0.023258 -0.008904 -0.006714 -0.013697 -0.017236 -0.013772 -0.008854 -0.024412 -0.024080 -0.014692 -0.014530 -0.022717 -0.000132 -0.005563 -0.019224 -0.019966 -0.013779
T13 0.013192 0.002962 0.003247 0.006538 0.011307 0.014452 0.007828 -0.002267 0.014661 -0.012251 0.013893 0.013811 0.006416 -0.005085 0.010947 -0.009986 -0.007204 0.002838 0.005446 0.005120
